"Val_Type","Val"
"Office","Office of Institutional Research"
"Mailing Address","Couper Administration Building Room 312"
"City/State/Zip/Country","Binghamron, NY, 13902-6000 USA"
"Phone","607-777-6939"
"Fax","607-777-4513"
"E-mail Address","oir@binghamton.edu"
"https","//www.binghamton.edu/offices/oir/data-analysis/compliance-reports/common-data-set.html"
"Name of College/University","Binghamton University"
"A1 Mailing Address","P.O. Box 6000"
"City/State/Zip/Country","Binghamton, NY 13902-6000"
"Street Address (if different)","4400 Vestal Parkway East"
"City/State/Zip/Country","Binghamton, NY 13902"
"Main Phone Number","607-777-2000"
"WWW Home Page Address","www.binghamton.edu"
"Admissions Phone Number","607-777-2171"
"Admissions Toll-Free Phone Number","not applicable"
"Admissions Office Mailing Address","P.O. Box 6001"
"City/State/Zip/Country","Binghamton, NY 13902-6001"
"Admissions Fax Number","607-777-4445"
"Admissions E-mail Address","admit@binghamton.edu"
