"Val_Type","Val"
"Office","Institutional Research & Analytics"
"Mailing Address","5500 University Parkway"
"City/State/Zip/Country","San Bernardino CA 92407 USA"
"Phone","909-537-5052"
"E-mail Address","institutional_research@csusb.edu"
"https","//www.csusb.edu/institutional-research/studies-reports"
"Name of College/University","California State University, San Bernardino"
"Mailing Address","5500 University Parkway"
"City/State/Zip/Country","San Bernardino CA 92407"
"Main Phone Number","909-537-5000"
"WWW Home Page Address","http//www.csusb.edu"
"Admissions Phone Number","909-537-5188"
"Admissions Office Mailing Address","5500 University Parkway"
"City/State/Zip/Country","San Bernardino CA 92407"
"Admissions E-mail Address","moreinfo@csusb.edu"
"https","//www2.calstate.edu/apply"
