"Val_Type","Val"
"Name","Office of Institutional Effectiveness"
"Office","Murray State University"
"Mailing Address","324 Wells Hall"
"City/State/Zip/Country","Murray, KY 42071 USA"
"Phone","270-809-4412"
"E-mail Address","msu.oie@murraystate.edu"
"Name of College/University","Murray State University"
"Mailing Address","102 Curris Center"
"City/State/Zip/Country","Murray, KY 42071 USA"
"Main Phone Number","1 (800) 272-4678"
"WWW Home Page Address","www.murraystate.edu"
"Admissions Phone Number","270.809.3741"
"Admissions Toll-Free Phone Number","1 (800) 272-4678 ext 2"
"Admissions Office Mailing Address","102 Curris Center"
"City/State/Zip/Country","Murray, KY 42071 USA"
"Admissions E-mail Address","msu.adimissions@murraystate.edu"
"ttps","//www.murraystate.edu/headermenu/administration/PresidentsOffice/institutional-effectiveness/OfficeOfInstitutionalResearch/CommonDataSet.aspx"
