"Val_Type","Val"
"http","//www.tamuk.edu/oira/institutional-data/CDS-reporting.html"
"Name of College/University","Texas A&M University - Kingsville"
"Mailing Address","700 Univ. Blvd., MSC 100"
"City/State/Zip/Country","Kingsville / TX / 78363 / USA"
"Main Phone Number","(361) 593 - 2111"
"WWW Home Page Address","www.tamuk.edu"
"Admissions Phone Number","(361) 593 - 5372"
"Admissions Toll-Free Phone Number","(800) 687 - 6000"
"Admissions Office Mailing Address","1050 W Santa Gertrudis Ave., MSC 128"
"City/State/Zip/Country","Kingsville / TX / 78363 / USA"
"Admissions Fax Number","(361) 593 - 5509"
"Admissions E-mail Address","admissions@tamuk.edu"
