"Val_Type","Val"
"Office","Institutional Effectiveness and Analysis"
"Mailing Address","1720 2nd Avenue South, AB 420"
"City/State/Zip/Country","Birmingham, AL 35294-0104"
"Phone","(205) 975-4323"
"Fax","(205) 934-3179"
"E-mail Address","iea@uab.edu"
"https","//www.uab.edu/institutionaleffectiveness/data-library/common-data-set"
"Name of College/University","The University of Alabama at Birmingham"
"Mailing Address","1720 2nd Avenue South"
"City/State/Zip/Country","Birmingham, AL 35294"
"Street Address (if different)","701 20th Street South"
"City/State/Zip/Country","Birmingham, AL 35294"
"Main Phone Number","(205) 934-4011"
"WWW Home Page Address","www.uab.edu"
"Admissions Phone Number","(205) 934-8221"
"Admissions Toll-Free Phone Number","(800) 421-8743"
"Admissions Office Mailing Address","1720 2nd Ave S"
"City/State/Zip/Country","Birmingham, AL 35294-2936"
"Admissions Fax Number","(205) 975-7114"
"Admissions E-mail Address","chooseuab@uab.edu"
"https","//www.uab.edu/admissions/apply"
