"Val_Type","Val"
"Name of College/University","University of California, Santa Cruz"
"Mailing Address","1156 High Street"
"City/State/Zip/Country","Santa Cruz, CA 95064"
"Main Phone Number","(831) 459-0111"
"WWW Home Page Address","http//www.ucsc.edu"
"Admissions Phone Number","(831) 459-4008"
"Admissions Office Mailing Address","Office of Admissions, Cook House, 1156 High Street"
"City/State/Zip/Country","Santa Cruz, CA 95064"
"Admissions Fax Number","(831) 459-4452"
"Admissions E-mail Address","admissions@ucsc.edu"
"https","//admission.universityofcalifornia.edu/apply-now.html"
"https","//diversity.ucsc.edu/"
