"Val_Type","Val"
"Office","Office of Strategic Analytics & Institutional Research"
"Mailing Address","950 Main Street"
"City/State/Zip/Country","Worcester, MA 01660"
"E-mail Address","strategic-analytics@clarku.edu"
"Name of College/University","Clark University"
"Mailing Address","950 Main Street"
"City/State/Zip/Country","Worcester, MA 01610-1477"
"Main Phone Number","(508) 793-7711"
"WWW Home Page Address","www.clarku.edu"
"Admissions Phone Number","(508) 793-7431"
"Admissions Toll-Free Phone Number","(800) GO-CLARK"
"Admissions Office Mailing Address","950 Main Street"
"City/State/Zip/Country","Worcester, MA 01610-1477"
"Admissions Fax Number","(508) 793-8821"
"Admissions E-mail Address","admissions@clarku.edu"
