"Val_Type","Val"
"Publication Date","April 25, 2022"
"Last Revision Date","August 25, 2023"
"Office","Institutional Research and Assessment"
"Mailing Address","311 Henry Owl Building, CB#3350"
"City/State/Zip/Country","Chapel Hill, NC 27599-3350"
"Phone","919-962-1500"
"Fax","919-962-1341"
"E-mail Address","Yes No"
"https","//oira.unc.edu/reports/reports-archives/common-data-set/"
"Name of College/University","University of North Carolina at Chapel Hill"
"City/State/Zip/Country","Chapel Hill, NC 27599"
"Main Phone Number","919-962-2211"
"WWW Home Page Address","www.unc.edu"
"Admissions Phone Number","919-962-2211"
"Admissions Office Mailing Address","Jackson Hall, CB# 2200"
"City/State/Zip/Country","Chapel Hill, NC 27599-2200"
"Admissions Fax Number","919-962-3045"
"Admissions E-mail Address","unchelp@admissions.unc.edu"
"https","//admissions.unc.edu/apply/"
