"Val_Type","Val"
"http","//oia.unm.edu/facts-and-figures/common-data-set.html"
"Name of College/University","University of New Mexico"
"Mailing Address","1 University of New Mexico"
"City/State/Zip/Country","Albuquerque, NM 87131 USA"
"Main Phone Number","505-277-0111"
"WWW Home Page Address","www.unm.edu"
"Admissions Phone Number","505-277-2446"
"Admissions Toll-Free Phone Number","1-800-225-5866"
"Admissions Office Mailing Address","Office of Admissions, P.O. Box 4895"
"City/State/Zip/Country","Albuquerque, NM 86131 USA"
"Admissions Fax Number","505-277-6686"
"Admissions E-mail Address","apply@unm.edu"
