"Val_Type","Val"
"Name","Nichole Greenwood"
"Title","Senior Business Data Analyst"
"Office","Office of Budget and Institutional Analysis"
"Mailing Address","201 Presidents Circle Room 110"
"City/State/Zip/Country","Salt Lake City, UT 84112, USA"
"E-mail Address","surveys@obia.utah.edu"
"https","//www.obia.utah.edu/data-dashboard/common-data-set/"
"Name of College/University","University of Utah"
"Mailing Address","201 Presidents Circle"
"City/State/Zip/Country","Salt Lake City, UT 84112, USA"
"Main Phone Number","801-581-7200"
"WWW Home Page Address","www.utah.edu"
"Admissions Phone Number","1+(801)581-8761"
"Admissions Toll-Free Phone Number","1+(800)685-8856"
"Admissions Office Mailing Address","201 S 1460 E Room 250 S"
"City/State/Zip/Country","Salt Lake City, UT 84112-9057, USA"
"Admissions Fax Number","1+(801)585-7864"
"Admissions E-mail Address","admissions@utah.edu"
