"Val_Type","Val"
"Office","Data, Analytics, and Institutional Research"
"Mailing Address","1155 Union Circle #311306"
"City/State/Zip/Country","Denton, TX 76203"
"Fax","940-565-2774"
"Name of College/University","University of North Texas"
"Mailing Address","1155 Union Circle #311425"
"City/State/Zip/Country","Denton, TX 76203-5017"
"Street Address (if different)","1501 West Chestnut"
"City/State/Zip/Country","Denton, TX 76203-5017"
"Main Phone Number","940-565-2000"
"WWW Home Page Address","https//www.unt.edu"
"Admissions Phone Number","940-565-2681"
"Admissions Toll-Free Phone Number","800-868-8211"
"Admissions Office Mailing Address","1155 Union Circle #311277"
"City/State/Zip/Country","Denton, TX 76203-5017"
"Admissions Fax Number","940-565-2408"
"Admissions E-mail Address","undergrad@unt.edu"
"https","//www.unt.edu/admissions/apply-now.html"
