"Val_Type","Val"
"Office","Office of Institutional Effectiveness"
"E-mail Address","oie@pepperdine.edu"
"https","//www.pepperdine.edu/oie/institutional-research/common-data-set.htm"
"Name of College/University","Pepperdine University"
"Mailing Address","24255 Pacific Coast Highway"
"City/State/Zip/Country","Malibu, CA 90263"
"Main Phone Number","310-506-4000"
"WWW Home Page Address","https//www.pepperdine.edu"
"Admissions Phone Number","310-506-4392"
"Admissions E-mail Address","admission-seaver@pepperdine.edu"
"A2 Source of institutional control","A5 Degrees offered by your institution"
"A3 Classify your undergraduate institution","Terminal Associate"
"A4 Academic year calendar","X Doctoral degree research/scholarship"
"Differs by program (describe)","the URL of the corresponding webpage"
"Other (describe)","https//www.pepperdine.edu/belonging/about/"
