"Val_Type","Val"
"Name of College/University","University of Houston-Downtown"
"Mailing Address","One Main Street, Office of Admissions, Suite GSB308"
"City/State/Zip/Country","Houston, TX 77002 USA"
"Street Address (if different)","N/A"
"City/State/Zip/Country","N/A"
"Main Phone Number","713-221-8000"
"WWW Home Page Address","www.uhd.edu"
"Admissions Phone Number","713-221-8522"
"Admissions Toll-Free Phone Number","N/A"
"Admissions Office Mailing Address","One Main Street, Office of Admissions, Suite GSB308"
"City/State/Zip/Country","Houston, TX 77002 USA"
"Admissions Fax Number","713-223-7468"
"Admissions E-mail Address","uhdadmit@uhd.edu"
"https","//www.uhd.edu/admissions/apply/Pages/admissions-application.aspx"
"https","//www.uhd.edu/sssl/cdi/Pages/default.aspx"
