"Val_Type","Val"
"https","//www.bu.edu/asir/bu-facts/common-data-set/"
"Name of College/University","Boston University"
"Mailing Address","One Silber Way"
"Main Phone","(617) 353-2000"
"www Home Page Address","http//www.bu.edu"
"Admissions Phone Number","(617) 353-2300"
"Admissions Toll-Free Number","N/A"
"Admissions Office Mailing Address","233 Bay State Road"
"Admissions E-mail Address","admissions@bu.edu; International intadmis@bu.edu"
"Separate URL application site","https//app.commonapp.org/"
"https","//www.questbridge.org"
