"Val_Type","Val"
"Name of College/University","Coastal Carolina University"
"Mailing Address","P.O. Box 261954"
"City/State/Zip/Country","Conway, SC 29528-6054"
"Street Address (if different)","103 Tom Trout Drive"
"City/State/Zip/Country","Conway, SC 29526"
"Main Phone Number","(843) 347-3161"
"WWW Home Page Address","www.coastal.edu"
"Admissions Phone Number","(843) 349-2170"
"Admissions Toll-Free Phone Number","(800) 277-7000"
"Admissions Office Mailing Address","P.O. Box 261954"
"City/State/Zip/Country","Conway, SC 29528-6054"
"Admissions Fax Number","(843) 349-6436"
"Admissions E-mail Address","admissions@coastal.edu"
"https","//www.coastal.edu/dei/"
