"Val_Type","Val"
"Name of College/University","San José State University"
"Mailing Address","One Washington Square"
"City/State/Zip/Country","San Jose, CA 95192"
"Main Phone Number","408-924-1000"
"WWW Home Page Address","https//www.sjsu.edu/"
"Admissions Phone Number","408-283-7500"
"Admissions Toll-Free Phone Number","None"
"Admissions Office Mailing Address","One Washington Square"
"City/State/Zip/Country","San Jose, CA 95192-0016"
"Admissions Fax Number","408-924-2050"
"Admissions E-mail Address","admissions@sjsu.edu"
"https","//www.calstate.edu/apply"
