"Val_Type","Val"
"Name","IR Office"
"Office","IR Office"
"Mailing Address","5000 N. Willamette Blvd."
"City/State/Zip/Country","Portland, OR 97203-5798"
"E-mail Address","ir@up.edu"
"https","//www.up.edu/ir/institutional-data/common-data-set-archives.html"
"Name of College/University","University of Portland"
"Mailing Address","5000 N. Willamette Blvd."
"City/State/Zip/Country","Portland, OR 97203-5798"
"Main Phone Number","503-943-8000"
"WWW Home Page Address","www.up.edu"
"Admissions Phone Number","503-943-7147"
"Admissions Toll-Free Phone Number","888-627-5601"
"Admissions Office Mailing Address","5000 N. Willamette Blvd."
"City/State/Zip/Country","Portland, OR 97203-5798"
"Admissions Fax Number","503-943-7315"
"Admissions E-mail Address","admissions@up.edu"
