"Val_Type","Val"
"Office","Institutional Research"
"Mailing Address","887 S. Matlack Street"
"City/State/Zip/Country","West Chester, PA 19383 USA"
"Phone","610-436-1000"
"Name of College/University","West Chester University of Pennsylvania"
"Mailing Address","700 South High Street"
"City/State/Zip/Country","West Chester, PA 19383 USA"
"Main Phone Number","610-436-1000"
"WWW Home Page Address","www.wcupa.edu"
"Admissions Phone Number","610-436-3411"
"Admissions Toll-Free Phone Number","877-315-2165"
"Admissions Office Mailing Address","Wayne Hall, 6th Floor, 125 W. Rosedale Ave."
"City/State/Zip/Country","West Chester, PA 19383 USA"
"Admissions Fax Number","610-436-2907"
"Admissions E-mail Address","ugadmiss@wcupa.edu"
