"Val_Type","Val"
"Office","Multiple Offices; each completed different section(s)."
"https","//www.gettysburg.edu/offices/institutional-analysis/common-data-set/"
"Name of College/University","Gettysburg College"
"Mailing Address","300 N. Washington Street"
"City/State/Zip/Country","Gettysburg, PA 17325 USA"
"Main Phone Number","717-337-6300"
"WWW Home Page Address","www.gettysburg.edu"
"Admissions Phone Number","717-337-6100"
"Admissions Toll-Free Phone Number","800-431-0803"
"Admissions Fax Number","717-337-6145"
"Admissions E-mail Address","admiss@gettysburg.edu"
