"Val_Type","Val"
"https","//ira.temple.edu/facts-and-figures/compliance-reports"
"Name of College/University","Temple University"
"Mailing Address","1801 North Broad Street"
"City/State/Zip/Country","Philadelphia, PA 19122"
"Main Phone Number","215-204-7000"
"WWW Home Page Address","www.temple.edu"
"Admissions Phone Number","215-204-7200"
"Admissions Toll-Free Phone Number","888-340-2222"
"Admissions Office Mailing Address","1801 North Broad Street, Conwell Hall 103"
"City/State/Zip/Country","Philadelphia, PA, 19122-6096, United States"
"Admissions Fax Number","215-204-5694"
"Admissions E-mail Address","askanowl@temple.edu"
"https","//admissions.temple.edu/apply"
