"Val_Type","Val"
"Office","Institutional Research & Analysis"
"Mailing Address","2199 S. University Blvd."
"City/State/Zip/Country","Denver, CO 80208 USA"
"Phone","303-871-7556"
"Fax","303-871-4101"
"E-mail Address","institutionalresearch@du.edu"
"https","//www.du.edu/ir/reporting/cds.html"
"Name of College/University","University of Denver"
"Mailing Address","2199 S. University Blvd."
"City/State/Zip/Country","Denver, CO 80208 USA"
"Main Phone Number","303-871-2036"
"WWW Home Page Address","http//www.du.edu/"
"Admissions Phone Number","303-871-2036"
"Admissions Office Mailing Address","2197 S. University Blvd."
"City/State/Zip/Country","Denver, CO 80208 USA"
"Admissions Fax Number","303-871-2201"
"Admissions E-mail Address","admission@du.edu"
"https","//denveradmission.du.edu/web/"
